Column1.1;Column1.2;Column1.3;Column1.4;Column1.5;Column1.6;Column1.7;Column1.8;Column1.9;Column1.10;Column1.11;Column1.12;Column1.13;Column1.14;Column1.15;Column1.16;Column1.17
COUNTRY;Country;SERIES;Series;PERIOD;Pay period;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2011;2011;USD;US Dollar;0;Units;;;24256.61;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2012;2012;USD;US Dollar;0;Units;;;24586.97;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2013;2013;USD;US Dollar;0;Units;;;24659.83;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2014;2014;USD;US Dollar;0;Units;;;24736.85;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2015;2015;USD;US Dollar;0;Units;;;25038.59;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2016;2016;USD;US Dollar;0;Units;;;25328.81;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2017;2017;USD;US Dollar;0;Units;;;25554.73;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2018;2018;USD;US Dollar;0;Units;;;25928.02;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2019;2019;USD;US Dollar;0;Units;;;26344.97;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2020;2020;USD;US Dollar;0;Units;;;26743.1;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2001;2001;USD;US Dollar;0;Units;;;5.81;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2002;2002;USD;US Dollar;0;Units;;;5.75;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2003;2003;USD;US Dollar;0;Units;;;5.69;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2004;2004;USD;US Dollar;0;Units;;;5.63;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2005;2005;USD;US Dollar;0;Units;;;5.94;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2006;2006;USD;US Dollar;0;Units;;;6.19;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2007;2007;USD;US Dollar;0;Units;;;6.35;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2008;2008;USD;US Dollar;0;Units;;;6.42;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2009;2009;USD;US Dollar;0;Units;;;6.69;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2010;2010;USD;US Dollar;0;Units;;;6.67;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2011;2011;USD;US Dollar;0;Units;;;6.55;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2012;2012;USD;US Dollar;0;Units;;;6.4;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2013;2013;USD;US Dollar;0;Units;;;6.34;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2014;2014;USD;US Dollar;0;Units;;;6.35;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2015;2015;USD;US Dollar;0;Units;;;6.41;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2016;2016;USD;US Dollar;0;Units;;;6.5;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2017;2017;USD;US Dollar;0;Units;;;6.88;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2018;2018;USD;US Dollar;0;Units;;;7.04;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2019;2019;USD;US Dollar;0;Units;;;8.54;;
ESP;Spain;PPP;In 2020 constant prices at 2020 USD PPPs;H;Hourly;2020;2020;USD;US Dollar;0;Units;;;9.05;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2001;2001;USD;US Dollar;0;Units;;;1.03;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2002;2002;USD;US Dollar;0;Units;;;1.1;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2003;2003;USD;US Dollar;0;Units;;;1.17;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2004;2004;USD;US Dollar;0;Units;;;1.53;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2005;2005;USD;US Dollar;0;Units;;;1.6;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2006;2006;USD;US Dollar;0;Units;;;1.58;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2007;2007;USD;US Dollar;0;Units;;;1.57;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2008;2008;USD;US Dollar;0;Units;;;1.55;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2009;2009;USD;US Dollar;0;Units;;;1.59;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2010;2010;USD;US Dollar;0;Units;;;1.6;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2011;2011;USD;US Dollar;0;Units;;;1.65;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2012;2012;USD;US Dollar;0;Units;;;1.7;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2013;2013;USD;US Dollar;0;Units;;;1.73;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2014;2014;USD;US Dollar;0;Units;;;1.75;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2015;2015;USD;US Dollar;0;Units;;;1.88;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2016;2016;USD;US Dollar;0;Units;;;2.26;;
TUR;Turkey;EXR;In 2020 constant prices at 2020 USD exchange rates;H;Hourly;2017;2017;USD;US Dollar;0;Units;;;2.19;;
