Column1.1;Column1.2;Column1.3;Column1.4;Column1.5;Column1.6;Column1.7;Column1.8;Column1.9;Column1.10;Column1.11;Column1.12;Column1.13;Column1.14;Column1.15;Column1.16;Column1.17
COUNTRY;Country;SERIES;Series;PERIOD;Pay period;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
ESP;Spain;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2018;2018;USD;US Dollar;0;Units;;;11811.67;;
ESP;Spain;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2019;2019;USD;US Dollar;0;Units;;;14345.23;;
ESP;Spain;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2020;2020;USD;US Dollar;0;Units;;;15191.21;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2001;2001;USD;US Dollar;0;Units;;;22774.28;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2002;2002;USD;US Dollar;0;Units;;;22998.63;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2003;2003;USD;US Dollar;0;Units;;;23298.72;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2004;2004;USD;US Dollar;0;Units;;;23707.64;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2005;2005;USD;US Dollar;0;Units;;;23899.87;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2006;2006;USD;US Dollar;0;Units;;;23534.04;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2007;2007;USD;US Dollar;0;Units;;;24314.55;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2008;2008;USD;US Dollar;0;Units;;;23888.7;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2009;2009;USD;US Dollar;0;Units;;;24196.01;;
AUS;Australia;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2010;2010;USD;US Dollar;0;Units;;;24074.45;;
